min-fill,min-degree,node count,edge count
0.019588232040405273,6.440598964691162,1,4
0.005095958709716797,0.01340794563293457,5,5
0.01266789436340332,0.4166991710662842,1,0
0.016007184982299805,1.6424131393432617,1,2
0.0038378238677978516,0.007074117660522461,4,4
0.02054572105407715,12.928814172744751,1,5
0.0068683624267578125,0.027416706085205078,6,6
0.002412080764770508,0.0029790401458740234,3,3
0.011241912841796875,0.20630979537963867,9,9
0.009855031967163086,0.10636401176452637,8,8
0.013725042343139648,0.8095510005950928,1,1
0.0012540817260742188,0.0010879039764404297,2,2
0.007818937301635742,0.05368304252624512,7,7
0.01699972152709961,3.2283551692962646,1,3
