variable elimination,naive summing out,node count,edge count
0.14525294303894043,34.27967619895935,14,10
0.029956340789794922,0.0348963737487793,4,2
0.09465575218200684,16.682458877563477,13,12
0.11115264892578125,17.25127410888672,13,3
0.08002018928527832,1.5584461688995361,10,9
0.07126474380493164,1.4039044380187988,10,3
0.07599472999572754,1.9705064296722412,10,8
0.08598875999450684,1.8204445838928223,10,10
0.09769558906555176,1.7011146545410156,10,5
0.162308931350708,49.857149600982666,15,3
0.0739600658416748,2.4147098064422607,11,6
0.08222126960754395,41.729156255722046,15,4
0.07012128829956055,4.867304801940918,12,11
0.07441282272338867,9.752269506454468,13,2
0.04710960388183594,0.29657697677612305,8,4
0.04250478744506836,0.1591939926147461,7,4
0.0980987548828125,45.892353534698486,15,5
0.024883508682250977,0.01825547218322754,3,3
0.05103659629821777,0.13301777839660645,6,5
0.06501221656799316,0.16358566284179688,6,4
0.06728601455688477,0.5140268802642822,8,2
0.012474536895751953,0.008211851119995117,2,2
0.11251497268676758,20.085856676101685,14,3
0.07414698600769043,4.694164752960205,12,9
0.08802676200866699,4.7627527713775635,12,2
0.037142276763916016,0.08095097541809082,6,6
0.07518959045410156,9.491127729415894,13,11
0.06650447845458984,2.368483781814575,11,10
0.051455020904541016,0.5895249843597412,9,7
0.0429234504699707,0.14770793914794922,7,3
0.055860042572021484,1.1869258880615234,10,4
0.0757906436920166,9.372339963912964,13,13
0.01766514778137207,0.009411334991455078,3,2
0.07615971565246582,12.646317720413208,13,6
0.09126567840576172,22.69574546813965,14,11
0.09882807731628418,23.60867166519165,14,12
0.1155087947845459,6.744986295700073,12,10
0.04842233657836914,0.2506422996520996,7,2
0.09241676330566406,23.632761240005493,14,13
0.0629727840423584,3.6788928508758545,11,4
0.08492302894592285,3.8739686012268066,11,5
0.06950139999389648,0.16188597679138184,6,2
0.1423039436340332,8.208351135253906,12,3
0.06994175910949707,1.8839428424835205,10,6
0.04972696304321289,0.12011551856994629,5,4
0.08594202995300293,24.45328974723816,14,6
0.02397608757019043,0.021485567092895508,4,4
0.027834415435791016,0.043672800064086914,5,2
0.08595800399780273,23.728983163833618,14,8
0.10997915267944336,6.330890417098999,12,5
0.07731056213378906,11.88004446029663,13,7
0.15890741348266602,48.62427306175232,15,8
0.09545183181762695,23.635645151138306,14,5
0.08367395401000977,7.019838809967041,12,4
0.06334066390991211,2.6347591876983643,11,8
0.06783080101013184,9.779828786849976,12,8
0.16446185111999512,6.103147268295288,12,7
0.07131147384643555,2.9204087257385254,11,9
0.09256196022033691,58.345569372177124,15,7
0.08965682983398438,41.58617663383484,14,14
0.11584115028381348,28.950560331344604,14,9
0.12688374519348145,48.77650737762451,15,15
0.057211875915527344,1.5581552982330322,10,7
0.08201909065246582,11.108443260192871,13,4
0.05782485008239746,0.4828300476074219,8,7
0.04965019226074219,0.20316481590270996,7,7
0.06443929672241211,1.4152929782867432,9,2
0.28409671783447266,42.28324508666992,15,14
0.032897233963012695,0.04883456230163574,5,3
0.023163318634033203,0.026094436645507812,4,3
0.07159566879272461,2.3336117267608643,11,2
0.08666849136352539,38.36772298812866,15,6
0.0877077579498291,37.86650347709656,15,10
0.0726325511932373,9.546744585037231,13,10
0.05428957939147949,1.1967945098876953,10,2
0.04454159736633301,0.15551304817199707,7,5
0.08477425575256348,38.117077589035034,15,12
0.07343077659606934,4.751977920532227,12,6
0.0511624813079834,0.30785655975341797,8,5
0.05316329002380371,0.5887360572814941,9,8
0.08688855171203613,37.9276807308197,15,11
0.052396297454833984,0.6013717651367188,9,6
0.06129026412963867,2.4821956157684326,11,3
0.0746605396270752,9.565487146377563,13,8
0.04589414596557617,0.3124990463256836,8,8
0.05134940147399902,0.5825917720794678,9,5
0.06670999526977539,2.488006830215454,11,7
0.03592348098754883,0.0760800838470459,6,3
0.0697629451751709,2.357884168624878,11,11
0.07184863090515137,9.643033027648926,13,9
0.07590293884277344,19.722374200820923,14,4
0.052720069885253906,0.6089346408843994,9,9
0.08141112327575684,38.84937238693237,15,2
0.08180570602416992,19.681811571121216,14,2
0.04150271415710449,0.16053390502929688,7,6
0.05105948448181152,0.6490657329559326,9,4
0.04230093955993652,0.3134117126464844,8,3
0.07694220542907715,9.514901161193848,13,5
0.050811767578125,0.6230735778808594,9,3
0.07632184028625488,19.316148042678833,14,7
0.04668259620666504,0.30174875259399414,8,6
0.07806110382080078,38.09634447097778,15,13
0.028841257095336914,0.04535365104675293,5,5
0.08364367485046387,38.17157030105591,15,9
0.06294822692871094,4.930413007736206,12,12
